name,link
LIFESCI,https://www.bruinwalk.com/search/?category=classes&dept=112
LING,https://www.bruinwalk.com/search/?category=classes&dept=113
LTHUAN,https://www.bruinwalk.com/search/?category=classes&dept=114
MGMT,https://www.bruinwalk.com/search/?category=classes&dept=115
MAT SCI,https://www.bruinwalk.com/search/?category=classes&dept=116
MATH,https://www.bruinwalk.com/search/?category=classes&dept=117
MECH&AE,https://www.bruinwalk.com/search/?category=classes&dept=118
MED HIS,https://www.bruinwalk.com/search/?category=classes&dept=119
MED,https://www.bruinwalk.com/search/?category=classes&dept=120
MIMG,https://www.bruinwalk.com/search/?category=classes&dept=121
MIL SCI,https://www.bruinwalk.com/search/?category=classes&dept=122
M PHARM,https://www.bruinwalk.com/search/?category=classes&dept=123
MOL BIO,https://www.bruinwalk.com/search/?category=classes&dept=124
MCD BIO,https://www.bruinwalk.com/search/?category=classes&dept=125
MC&IP,https://www.bruinwalk.com/search/?category=classes&dept=126
MOL TOX,https://www.bruinwalk.com/search/?category=classes&dept=127
MIA STD,https://www.bruinwalk.com/search/?category=classes&dept=128
MUSIC,https://www.bruinwalk.com/search/?category=classes&dept=129
MUS HST,https://www.bruinwalk.com/search/?category=classes&dept=130
MUSCLG,https://www.bruinwalk.com/search/?category=classes&dept=131
NAV SCI,https://www.bruinwalk.com/search/?category=classes&dept=132
NR EAST,https://www.bruinwalk.com/search/?category=classes&dept=133
NEURBIO,https://www.bruinwalk.com/search/?category=classes&dept=134
NEURLGY,https://www.bruinwalk.com/search/?category=classes&dept=135
NEUROSC,https://www.bruinwalk.com/search/?category=classes&dept=136
NEURSGY,https://www.bruinwalk.com/search/?category=classes&dept=137
NURSING,https://www.bruinwalk.com/search/?category=classes&dept=138
OBGYN,https://www.bruinwalk.com/search/?category=classes&dept=139
OPTH,https://www.bruinwalk.com/search/?category=classes&dept=141
ORL BIO,https://www.bruinwalk.com/search/?category=classes&dept=142
ORTHPDC,https://www.bruinwalk.com/search/?category=classes&dept=143
PATH,https://www.bruinwalk.com/search/?category=classes&dept=144
PEDS,https://www.bruinwalk.com/search/?category=classes&dept=145
PHILOS,https://www.bruinwalk.com/search/?category=classes&dept=146
PHYSICS,https://www.bruinwalk.com/search/?category=classes&dept=147
PHYSCI,https://www.bruinwalk.com/search/?category=classes&dept=148
PHYSIOL,https://www.bruinwalk.com/search/?category=classes&dept=149
POLSH,https://www.bruinwalk.com/search/?category=classes&dept=150
PORTGSE,https://www.bruinwalk.com/search/?category=classes&dept=152
COMPTNG,https://www.bruinwalk.com/search/?category=classes&dept=153
PSYCTRY,https://www.bruinwalk.com/search/?category=classes&dept=154
PSYCH,https://www.bruinwalk.com/search/?category=classes&dept=155
PUB HLT,https://www.bruinwalk.com/search/?category=classes&dept=156
PUB PLC,https://www.bruinwalk.com/search/?category=classes&dept=157
QUECHUA,https://www.bruinwalk.com/search/?category=classes&dept=158
RAD ONC,https://www.bruinwalk.com/search/?category=classes&dept=159
RELIGN,https://www.bruinwalk.com/search/?category=classes&dept=160
ROM L&L,https://www.bruinwalk.com/search/?category=classes&dept=161
RUSSN,https://www.bruinwalk.com/search/?category=classes&dept=163
SCAND,https://www.bruinwalk.com/search/?category=classes&dept=164
SEMITIC,https://www.bruinwalk.com/search/?category=classes&dept=165
SRB CRO,https://www.bruinwalk.com/search/?category=classes&dept=166
SLAVC,https://www.bruinwalk.com/search/?category=classes&dept=167
SOC THT,https://www.bruinwalk.com/search/?category=classes&dept=168
SOC WLF,https://www.bruinwalk.com/search/?category=classes&dept=169
SOC GEN,https://www.bruinwalk.com/search/?category=classes&dept=170
SOCIOL,https://www.bruinwalk.com/search/?category=classes&dept=171
S ASIAN,https://www.bruinwalk.com/search/?category=classes&dept=172
SEASIAN,https://www.bruinwalk.com/search/?category=classes&dept=173
SE A ST,https://www.bruinwalk.com/search/?category=classes&dept=174
SPAN,https://www.bruinwalk.com/search/?category=classes&dept=175
STATS,https://www.bruinwalk.com/search/?category=classes&dept=176
SURGERY,https://www.bruinwalk.com/search/?category=classes&dept=177
THAI,https://www.bruinwalk.com/search/?category=classes&dept=178
THEATER,https://www.bruinwalk.com/search/?category=classes&dept=179
TURKIC,https://www.bruinwalk.com/search/?category=classes&dept=180
UKRN,https://www.bruinwalk.com/search/?category=classes&dept=181
URBN PL,https://www.bruinwalk.com/search/?category=classes&dept=182
UROLOGY,https://www.bruinwalk.com/search/?category=classes&dept=183
VIETMSE,https://www.bruinwalk.com/search/?category=classes&dept=184
GENDER,https://www.bruinwalk.com/search/?category=classes&dept=185
WL ARTS,https://www.bruinwalk.com/search/?category=classes&dept=186
YIDDSH,https://www.bruinwalk.com/search/?category=classes&dept=187
ENGL,https://www.bruinwalk.com/search/?category=classes&dept=193
POL SCI,https://www.bruinwalk.com/search/?category=classes&dept=194
I A STD,https://www.bruinwalk.com/search/?category=classes&dept=196
ROMANIA,https://www.bruinwalk.com/search/?category=classes&dept=197
ASL,https://www.bruinwalk.com/search/?category=classes&dept=198
MUS IND,https://www.bruinwalk.com/search/?category=classes&dept=199
AF AMER,https://www.bruinwalk.com/search/?category=classes&dept=200
ARTS ED,https://www.bruinwalk.com/search/?category=classes&dept=201
UNIV ST,https://www.bruinwalk.com/search/?category=classes&dept=202
IL AMER,https://www.bruinwalk.com/search/?category=classes&dept=203
DGT HUM,https://www.bruinwalk.com/search/?category=classes&dept=204
SCI EDU,https://www.bruinwalk.com/search/?category=classes&dept=205
M E STD,https://www.bruinwalk.com/search/?category=classes&dept=206
DANCE,https://www.bruinwalk.com/search/?category=classes&dept=207
HLT POL,https://www.bruinwalk.com/search/?category=classes&dept=208
GLB HLT,https://www.bruinwalk.com/search/?category=classes&dept=209
ETHNMUS,https://www.bruinwalk.com/search/?category=classes&dept=210
LGBTQS,https://www.bruinwalk.com/search/?category=classes&dept=211
MSC HST,https://www.bruinwalk.com/search/?category=classes&dept=212
MSC IND,https://www.bruinwalk.com/search/?category=classes&dept=213
MUSC,https://www.bruinwalk.com/search/?category=classes&dept=214
SWAHILI,https://www.bruinwalk.com/search/?category=classes&dept=215
COMM ST,https://www.bruinwalk.com/search/?category=classes&dept=216
FOOD ST,https://www.bruinwalk.com/search/?category=classes&dept=217
GJ STDS,https://www.bruinwalk.com/search/?category=classes&dept=218
PUB AFF,https://www.bruinwalk.com/search/?category=classes&dept=220
I M STD,https://www.bruinwalk.com/search/?category=classes&dept=221
BIOINFO,https://www.bruinwalk.com/search/?category=classes&dept=222
MGMTEX,https://www.bruinwalk.com/search/?category=classes&dept=223
MGMTGEX,https://www.bruinwalk.com/search/?category=classes&dept=224
MGMTMFE,https://www.bruinwalk.com/search/?category=classes&dept=225
MGMTMSA,https://www.bruinwalk.com/search/?category=classes&dept=226
MGMTPHD,https://www.bruinwalk.com/search/?category=classes&dept=227
NEURO,https://www.bruinwalk.com/search/?category=classes&dept=228
SOC SC,https://www.bruinwalk.com/search/?category=classes&dept=229
GRAD PD,https://www.bruinwalk.com/search/?category=classes&dept=230
CESC,https://www.bruinwalk.com/search/?category=classes&dept=231
MGMTFE,https://www.bruinwalk.com/search/?category=classes&dept=232
MGMTFT,https://www.bruinwalk.com/search/?category=classes&dept=233
LBR STD,https://www.bruinwalk.com/search/?category=classes&dept=234
CCAS,https://www.bruinwalk.com/search/?category=classes&dept=235
